_id,Policy_Number,Base_Policy,Month,Month_Claimed,Age_Group,Age_Of_Vehicle,Fault,Past_Number_Of_Claims,Year,Fraud,Insurance_Amount,Vehicle,Accident_Area
655e239591d67ee903e53c6b,1,Liability,Dec,Jan,21-30,3 years,Policy Holder,0,1994,0,60951,655d395b7086282ba8e0812d,655d5a177086282ba8e0815c
655e239591d67ee903e53c6c,2,Collision,Jan,Jan,31-40,6 years,Policy Holder,0,1994,0,57291,655d395b7086282ba8e0812d,655d5a177086282ba8e08156
655e239591d67ee903e53c6d,3,Collision,Oct,Nov,41-50,7 years,Policy Holder,1,1994,0,69397,655d395b7086282ba8e0812d,655d5a177086282ba8e0815a
655e239591d67ee903e53c6e,4,Liability,Jun,Jul,61-70,more than 7,Third Party,1,1994,0,68252,655d395b7086282ba8e08146,655d5a177086282ba8e08151
655e239591d67ee903e53c6f,5,Collision,Jan,Feb,21-30,5 years,Third Party,0,1994,0,56291,655d395b7086282ba8e0812d,655d5a177086282ba8e08159
655e239591d67ee903e53c70,6,Collision,Oct,Nov,20-Nov,5 years,Third Party,0,1994,1,59202,655d395b7086282ba8e0812d,655d5a177086282ba8e0815a
655e239591d67ee903e53c71,7,Collision,Feb,Feb,31-40,7 years,Third Party,1,1994,1,69745,655d395b7086282ba8e0812d,655d5a177086282ba8e08153
655e239591d67ee903e53c72,8,Collision,Nov,Mar,20-Nov,new,Policy Holder,0,1994,0,69704,655d395b7086282ba8e0812d,655d5a177086282ba8e0815b
655e239591d67ee903e53c73,9,Collision,Dec,Dec,21-30,6 years,Policy Holder,0,1994,1,51389,655d395b7086282ba8e0812d,655d5a177086282ba8e08155
655e239591d67ee903e53c74,10,All Perils,Apr,Apr,41-50,more than 7,Policy Holder,2,1994,0,39152,655d395b7086282ba8e0812a,655d5a177086282ba8e08154
655e239591d67ee903e53c75,11,All Perils,Mar,Mar,71-80,more than 7,Policy Holder,0,1994,0,29614,655d395b7086282ba8e08133,655d5a177086282ba8e0815c
655e239591d67ee903e53c76,12,Liability,Mar,Mar,51-60,more than 7,Policy Holder,3,1994,0,54695,655d395b7086282ba8e0812d,655d5a177086282ba8e0815a
655e239591d67ee903e53c77,13,Liability,Jan,Jan,21-30,7 years,Policy Holder,0,1994,0,60155,655d395b7086282ba8e0812b,655d5a177086282ba8e0815c
655e239591d67ee903e53c78,14,Collision,Jan,Feb,20-Nov,new,Third Party,0,1994,1,17588,655d395b7086282ba8e0812e,655d5a177086282ba8e0814e
655e239591d67ee903e53c79,15,Liability,Jan,Feb,61-70,more than 7,Policy Holder,0,1994,1,51597,655d395b7086282ba8e0812b,655d5a177086282ba8e08154
655e239591d67ee903e53c7a,16,Liability,Aug,Aug,31-40,6 years,Policy Holder,0,1994,0,52914,655d395b7086282ba8e0812b,655d5a177086282ba8e08156
