_id,Vechile_Id,Vehicle_Make,Vehicle_Category
655d395b7086282ba8e0811f,1,Accura,Sedan
655d395b7086282ba8e08120,2,Accura,Utility
655d395b7086282ba8e08121,3,Accura,Sport
655d395b7086282ba8e08122,4,BMW,Sedan
655d395b7086282ba8e08123,5,BMW,Sport
655d395b7086282ba8e08124,6,Chevrolet,Sedan
655d395b7086282ba8e08125,7,Chevrolet,Sport
655d395b7086282ba8e08126,8,Chevrolet,Utility
655d395b7086282ba8e08127,9,Dodge,Sedan
655d395b7086282ba8e08128,10,Dodge,Sport
655d395b7086282ba8e08129,11,Ferrari,Utility
655d395b7086282ba8e0812a,12,Ford,Utility
655d395b7086282ba8e0812b,13,Ford,Sport
655d395b7086282ba8e0812c,14,Ford,Sedan
655d395b7086282ba8e0812d,15,Honda,Sport
655d395b7086282ba8e0812e,16,Honda,Sedan
655d395b7086282ba8e0812f,17,Honda,Utility
655d395b7086282ba8e08130,18,Jaguar,Sport
655d395b7086282ba8e08131,19,Jaguar,Sedan
655d395b7086282ba8e08132,20,Lexus,Sedan
655d395b7086282ba8e08133,21,Mazda,Sedan
655d395b7086282ba8e08134,22,Mazda,Sport
655d395b7086282ba8e08135,23,Mazda,Utility
655d395b7086282ba8e08136,24,Mecedes,Sedan
655d395b7086282ba8e08137,25,Mercury,Sedan
655d395b7086282ba8e08138,26,Mercury,Sport
655d395b7086282ba8e08139,27,Mercury,Utility
655d395b7086282ba8e0813a,28,Nisson,Utility
655d395b7086282ba8e0813b,29,Nisson,Sedan
655d395b7086282ba8e0813c,30,Nisson,Sport
655d395b7086282ba8e0813d,31,Pontiac,Sport
655d395b7086282ba8e0813e,32,Pontiac,Sedan
655d395b7086282ba8e0813f,33,Pontiac,Utility
655d395b7086282ba8e08140,34,Porche,Sport
655d395b7086282ba8e08141,35,Porche,Utility
655d395b7086282ba8e08142,36,Saab,Sedan
655d395b7086282ba8e08143,37,Saab,Sport
655d395b7086282ba8e08144,38,Saturn,Sedan
655d395b7086282ba8e08145,39,Saturn,Sport
655d395b7086282ba8e08146,40,Toyota,Sport
655d395b7086282ba8e08147,41,Toyota,Sedan
655d395b7086282ba8e08148,42,Toyota,Utility
655d395b7086282ba8e08149,43,VW,Sedan
655d395b7086282ba8e0814a,44,VW,Sport
655d395b7086282ba8e0814b,45,VW,Utility
